x,y
-3.64E-01,-1.27E-20
-3.64E-01,-1.28E-20
-3.64E-01,-1.29E-20
-3.63E-01,-1.29E-20
-3.63E-01,-1.30E-20
-3.63E-01,-1.29E-20
-3.63E-01,-1.29E-20
-3.62E-01,-1.28E-20
-3.62E-01,-1.27E-20
-3.62E-01,-1.26E-20
-3.62E-01,-1.24E-20
-3.61E-01,-1.22E-20
-3.61E-01,-1.19E-20
-3.61E-01,-1.17E-20
-3.61E-01,-1.14E-20
-3.60E-01,-1.10E-20
-3.60E-01,-1.06E-20
-3.60E-01,-1.02E-20
-3.60E-01,-9.80E-21
-3.59E-01,-9.34E-21
-3.59E-01,-8.86E-21
-3.59E-01,-8.34E-21
-3.59E-01,-7.80E-21
-3.58E-01,-7.24E-21
-3.58E-01,-6.65E-21
-3.58E-01,-6.04E-21
-3.58E-01,-5.42E-21
-3.57E-01,-4.77E-21
-3.57E-01,-4.11E-21
-3.57E-01,-3.43E-21
-3.57E-01,-2.73E-21
-3.56E-01,-2.03E-21
-3.56E-01,-1.31E-21
-3.56E-01,-5.83E-22
-3.56E-01,1.50E-22
-3.55E-01,8.87E-22
-3.55E-01,1.63E-21
-3.55E-01,2.37E-21
-3.55E-01,3.11E-21
-3.54E-01,3.85E-21
-3.54E-01,4.59E-21
-3.54E-01,5.32E-21
-3.54E-01,6.04E-21
-3.54E-01,6.75E-21
-3.53E-01,7.45E-21
-3.53E-01,8.13E-21
-3.53E-01,8.80E-21
-3.53E-01,9.45E-21
-3.52E-01,1.01E-20
-3.52E-01,1.07E-20
-3.52E-01,1.13E-20
-3.52E-01,1.19E-20
-3.51E-01,1.24E-20
-3.51E-01,1.29E-20
-3.51E-01,1.34E-20
-3.51E-01,1.38E-20
-3.50E-01,1.42E-20
-3.50E-01,1.46E-20
-3.50E-01,1.50E-20
-3.50E-01,1.53E-20
-3.49E-01,1.56E-20
-3.49E-01,1.58E-20
-3.49E-01,1.60E-20
-3.49E-01,1.62E-20
-3.48E-01,1.63E-20
-3.48E-01,1.64E-20
-3.48E-01,1.64E-20
-3.48E-01,1.64E-20
-3.47E-01,1.64E-20
-3.47E-01,1.63E-20
-3.47E-01,1.61E-20
-3.47E-01,1.60E-20
-3.46E-01,1.57E-20
-3.46E-01,1.55E-20
-3.46E-01,1.52E-20
-3.46E-01,1.49E-20
-3.45E-01,1.45E-20
-3.45E-01,1.41E-20
-3.45E-01,1.36E-20
-3.45E-01,1.31E-20
-3.44E-01,1.26E-20
-3.44E-01,1.20E-20
-3.44E-01,1.14E-20
-3.44E-01,1.07E-20
-3.44E-01,1.01E-20
-3.43E-01,9.37E-21
-3.43E-01,8.64E-21
-3.43E-01,7.88E-21
-3.43E-01,7.10E-21
-3.42E-01,6.29E-21
-3.42E-01,5.46E-21
-3.42E-01,4.61E-21
-3.42E-01,3.74E-21
-3.41E-01,2.85E-21
-3.41E-01,1.96E-21
-3.41E-01,1.05E-21
-3.41E-01,1.29E-22
-3.40E-01,-7.96E-22
-3.40E-01,-1.73E-21
-3.40E-01,-2.66E-21
-3.40E-01,-3.59E-21
-3.39E-01,-4.52E-21
-3.39E-01,-5.44E-21
-3.39E-01,-6.36E-21
-3.39E-01,-7.27E-21
